[2025-02-03 17:46:46.202679] [0x0000007fb948d010] [MocapTag] [0x0000550f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:46:46.330389] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [45] , 0.325639, 0.0200936, -0.216344, -0.149394, -0.99992, 0.00777319, 0.00843232, 0.00528362, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.333782] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [46] , 0.325639, 0.0200936, -0.216344, -0.149394, -0.99992, 0.00777319, 0.00843232, 0.00528362, 0, 0, -0.00233753, 0, 0, 0, 
[2025-02-03 17:46:46.335784] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [47] , 0.325639, 0.0200936, -0.216344, -0.149394, -0.99992, 0.00777319, 0.00843232, 0.00528362, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.338425] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [48] , 0.335643, 0.0200936, -0.216344, -0.149394, -0.99992, 0.00777319, 0.00843232, 0.00528362, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.346102] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [49] , 0.345643, 0.0200723, -0.216348, -0.149411, -0.999919, 0.00783651, 0.00851811, 0.00526663, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.346664] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [50] , 0.345643, 0.0200723, -0.216348, -0.149411, -0.999919, 0.00783651, 0.00851811, 0.00526663, -0.00213222, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.348939] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [51] , 0.345643, 0.0200723, -0.216348, -0.149411, -0.999919, 0.00783651, 0.00851811, 0.00526663, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.350978] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [52] , 0.345643, 0.0200791, -0.216336, -0.149396, -0.999921, 0.00781083, 0.00838198, 0.00524187, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.353749] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [53] , 0.345643, 0.0200791, -0.216336, -0.149396, -0.999921, 0.00781083, 0.00838198, 0.00524187, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.356258] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [54] , 0.355625, 0.0200791, -0.216336, -0.149396, -0.999921, 0.00781083, 0.00838198, 0.00524187, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.359004] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [55] , 0.355625, 0.0201049, -0.216326, -0.149352, -0.999921, 0.0077842, 0.00832384, 0.00523058, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.362264] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [56] , 0.355625, 0.0201049, -0.216326, -0.149352, -0.999921, 0.0077842, 0.00832384, 0.00523058, 0.00258034, 0, 0.00437179, 0, 0, 0, 
[2025-02-03 17:46:46.364931] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [57] , 0.355625, 0.0201049, -0.216326, -0.149352, -0.999921, 0.0077842, 0.00832384, 0.00523058, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.367888] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [58] , 0.365635, 0.0201049, -0.216326, -0.149352, -0.999921, 0.0077842, 0.00832384, 0.00523058, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.371978] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [59] , 0.365635, 0.0201142, -0.216334, -0.14933, -0.999922, 0.0078066, 0.00823179, 0.00526101, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.373117] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [60] , 0.365635, 0.0201142, -0.216334, -0.14933, -0.999922, 0.0078066, 0.00823179, 0.00526101, 0, 0, 0.00217973, 0, 0, 0, 
[2025-02-03 17:46:46.378082] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [61] , 0.375645, 0.0201142, -0.216334, -0.14933, -0.999922, 0.0078066, 0.00823179, 0.00526101, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.380635] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [62] , 0.375645, 0.0200916, -0.216352, -0.149323, -0.999922, 0.00782916, 0.00824386, 0.00526357, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.383540] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [63] , 0.375645, 0.0200916, -0.216352, -0.149323, -0.999922, 0.00782916, 0.00824386, 0.00526357, -0.00226298, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.386082] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [64] , 0.385647, 0.0200916, -0.216352, -0.149323, -0.999922, 0.00782916, 0.00824386, 0.00526357, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.388724] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [65] , 0.385647, 0.0200916, -0.216352, -0.149323, -0.999922, 0.00782916, 0.00824386, 0.00526357, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.393391] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [66] , 0.385647, 0.0201195, -0.216331, -0.149317, -0.999922, 0.00780141, 0.00820267, 0.00524433, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.396694] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [67] , 0.395622, 0.0201195, -0.216331, -0.149317, -0.999922, 0.00780141, 0.00820267, 0.00524433, 0.00279191, 0.00211862, 0, 0, 0, 0, 
[2025-02-03 17:46:46.399376] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [68] , 0.395622, 0.0201034, -0.216353, -0.149349, -0.999922, 0.00781678, 0.00827307, 0.00524126, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.402292] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [69] , 0.395622, 0.0201034, -0.216353, -0.149349, -0.999922, 0.00781678, 0.00827307, 0.00524126, 0, -0.002218, -0.00322804, 0, 0, 0, 
[2025-02-03 17:46:46.404796] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [70] , 0.395622, 0.0201034, -0.216353, -0.149349, -0.999922, 0.00781678, 0.00827307, 0.00524126, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.409386] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [71] , 0.405632, 0.0201034, -0.216353, -0.149349, -0.999922, 0.00781678, 0.00827307, 0.00524126, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.411966] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [72] , 0.405632, 0.0201304, -0.216368, -0.149364, -0.999921, 0.00782313, 0.00836443, 0.0052127, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.414483] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [73] , 0.405632, 0.0201304, -0.216368, -0.149364, -0.999921, 0.00782313, 0.00836443, 0.0052127, 0.0026976, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.417442] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [74] , 0.415668, 0.0201304, -0.216368, -0.149364, -0.999921, 0.00782313, 0.00836443, 0.0052127, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.419868] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [75] , 0.415668, 0.0201159, -0.216379, -0.149378, -0.999921, 0.00779777, 0.00838135, 0.00521044, 0, 0, 0, 0, 0, 0, 
