[2025-02-03 14:43:07.888250] [0x0000007f9f196010] [MocapTag] [0x00005057] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:43:07.995898] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [36] , 0.986649, -0.00957618, -0.190935, -0.143411, -0.999865, -0.00356387, 0.0137765, 0.00826557, 0, 0, 0.00276185, 0, 0, 0, 
[2025-02-03 14:43:08.000697] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [37] , 0.996648, -0.00957618, -0.190935, -0.143411, -0.999865, -0.00356387, 0.0137765, 0.00826557, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.003279] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [38] , 0.996648, -0.00958376, -0.190946, -0.14338, -0.999865, -0.00356968, 0.0137271, 0.00826548, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.007704] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [39] , 1.00663, -0.00958376, -0.190946, -0.14338, -0.999865, -0.00356968, 0.0137271, 0.00826548, 0, 0, 0.00313849, 0, 0, 0, 
[2025-02-03 14:43:08.008798] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [40] , 1.00663, -0.00958376, -0.190946, -0.14338, -0.999865, -0.00356968, 0.0137271, 0.00826548, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.011606] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [41] , 1.00663, -0.00958586, -0.190944, -0.143365, -0.999866, -0.00355039, 0.0136955, 0.00825885, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.015528] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [42] , 1.00663, -0.00958586, -0.190944, -0.143365, -0.999866, -0.00355039, 0.0136955, 0.00825885, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.018230] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [43] , 1.01665, -0.00958586, -0.190944, -0.143365, -0.999866, -0.00355039, 0.0136955, 0.00825885, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.020934] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [44] , 1.01665, -0.00958586, -0.190944, -0.143365, -0.999866, -0.00355039, 0.0136955, 0.00825885, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.023663] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [45] , 1.01665, -0.00959605, -0.190942, -0.143331, -0.999865, -0.00355413, 0.0137219, 0.00825739, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.026699] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [46] , 1.01665, -0.00959605, -0.190942, -0.143331, -0.999865, -0.00355413, 0.0137219, 0.00825739, 0, 0, 0.00340458, 0, 0, 0, 
[2025-02-03 14:43:08.030707] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [47] , 1.02666, -0.00959605, -0.190942, -0.143331, -0.999865, -0.00355413, 0.0137219, 0.00825739, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.033278] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [48] , 1.02666, -0.00958899, -0.190939, -0.143323, -0.999864, -0.0035464, 0.0137858, 0.00827431, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.036659] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [49] , 1.02666, -0.00958899, -0.190939, -0.143323, -0.999864, -0.0035464, 0.0137858, 0.00827431, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.039077] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [50] , 1.03667, -0.00958899, -0.190939, -0.143323, -0.999864, -0.0035464, 0.0137858, 0.00827431, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.041798] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [51] , 1.03667, -0.00959842, -0.190931, -0.143325, -0.999864, -0.0035527, 0.0138379, 0.00825771, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.046577] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [52] , 1.03667, -0.00959842, -0.190931, -0.143325, -0.999864, -0.0035527, 0.0138379, 0.00825771, 0, 0, 0, 0, 0, 0, 
