[2024-10-16 17:54:22.609861] [0x0000007f8e48c010] [VioTag] [0x000063df] [3] , Controller time [s], VIO Position x [m], VIO Position y [m], VIO Position z [m], VIO velocity x [m/s], VIO velocity y [m/s], VIO velocity z [m/s], VIO acceleration x [m/s^2], VIO acceleration y [m/s^2], VIO acceleration z [m/s^2], VIO Quaternion q0 [-], VIO Quaternion q1 [-], VIO Quaternion q2 [-], VIO Quaternion q3 [-], VIO Angular velocity x [rad/s], VIO Angular velocity y [rad/s], VIO Angular velocity z [rad/s], VIO Angular acceleration x [rad/s], VIO Angular acceleration y [rad/s], VIO Angular acceleration z [rad/s], VIO pose confidence level [-], VIO map confidence level [-], 
[2024-10-16 17:54:27.150390] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2290] , 10.1465, -2.34965e-06, -0.000371499, -0.00274752, 0.00823431, 0.000518764, -0.0545499, 0.00692298, 0.000721035, -0.449356, 0.99955, -0.00194126, -0.0299361, 0.000381569, -0.00674473, 0.02824, -0.00483483, -0.00674473, 0.02824, -0.00483483, 2, 0, 
[2024-10-16 17:54:27.155006] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2292] , 10.1465, -0.000455013, -0.000465448, -0.00149011, 0.000613983, 0.000505139, -0.0472819, -0.0524447, 0.0396293, -0.522855, 0.999547, -0.00195861, -0.0300327, 0.000431216, -0.012065, -0.0361467, 0.010511, -0.012065, -0.0361467, 0.010511, 2, 0, 
[2024-10-16 17:54:27.160028] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2295] , 10.1565, -0.000453095, -0.000462477, -0.00173486, 0.000278535, 0.000702351, -0.0500803, -0.0559788, 0.0395968, -0.531485, 0.999544, -0.00195793, -0.030134, 0.000440593, 0.0121906, -0.0278941, -0.00326363, 0.0121906, -0.0278941, -0.00326363, 2, 0, 
[2024-10-16 17:54:27.165193] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2298] , 10.1565, -0.000455481, -0.000458536, -0.00199867, -0.000210765, 0.000898636, -0.0531788, -0.0636714, 0.0395425, -0.5476, 0.999544, -0.00193411, -0.0301287, 0.00039504, 0.0133653, 0.0340873, -0.0184554, 0.0133653, 0.0340873, -0.0184554, 2, 0, 
[2024-10-16 17:54:27.170351] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2301] , 10.1665, -0.000442703, -0.000452454, -0.00229161, 0.00100982, 0.00130203, -0.058372, 0.0387106, 0.0564251, -0.733006, 0.999547, -0.00195359, -0.0300329, 0.000365665, -0.0155427, 0.0196343, 0.000112202, -0.0155427, 0.0196343, 0.000112202, 2, 0, 
[2024-10-16 17:54:27.174990] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2304] , 10.1665, -0.00043522, -0.00044544, -0.00259241, 0.000911656, 0.00158351, -0.0621496, 0.0078061, 0.0565372, -0.744314, 0.999546, -0.00197829, -0.0300678, 0.000417088, -0.0124586, -0.0435817, 0.0158457, -0.0124586, -0.0435817, 0.0158457, 2, 0, 
[2024-10-16 17:54:27.180006] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2307] , 10.1765, -0.00043034, -0.000436741, -0.00291246, 0.0010214, 0.00186635, -0.0659302, 0.0125539, 0.0564806, -0.748337, 0.999543, -0.00196296, -0.0301672, 0.00043119, 0.0165092, -0.0120051, -0.00301317, 0.0165092, -0.0120051, -0.00301317, 2, 0, 
[2024-10-16 17:54:27.185039] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2309] , 10.1765, -0.000423786, -0.000426594, -0.00325122, 0.00137442, 0.00214924, -0.0695376, 0.0274347, 0.056438, -0.741235, 0.999545, -0.00193565, -0.0301137, 0.000389538, 0.00949561, 0.0428566, -0.00701865, 0.00949561, 0.0428566, -0.00701865, 2, 0, 
[2024-10-16 17:54:27.190035] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2311] , 10.1865, 0.000284382, -0.0002967, -0.00155919, 0.0224072, 0.00415411, -0.0463538, 0.253917, 0.056624, -0.573226, 0.999546, -0.0019095, -0.0300604, 0.000393115, -0.0152619, 0.00147905, 0.0111028, -0.0152619, 0.00147905, 0.0111028, 2, 0, 
[2024-10-16 17:54:27.195017] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2314] , 10.1865, 0.000403444, -0.000275325, -0.00179705, 0.0238608, 0.00443546, -0.0491424, 0.258445, 0.0566068, -0.571098, 0.999544, -0.0019225, -0.0301267, 0.000438921, -0.00569439, -0.0415849, 0.00974612, -0.00569439, -0.0415849, 0.00974612, 2, 0, 
[2024-10-16 17:54:27.200277] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2317] , 10.1965, 0.000525553, -0.000252351, -0.00204884, 0.0251236, 0.00471983, -0.0519552, 0.257717, 0.0566156, -0.57019, 0.999542, -0.00190765, -0.0301901, 0.000428844, 0.0192079, 0.00726428, -0.0125956, 0.0192079, 0.00726428, -0.0125956, 2, 0, 
[2024-10-16 17:54:27.205031] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2320] , 10.1965, 0.000529024, -0.000276873, -0.00232081, 0.0181401, 0.00171378, -0.0550842, -0.0743749, -0.0773302, -0.579822, 0.999545, -0.00189159, -0.030105, 0.000370672, 0.00548867, 0.0439951, -0.0115749, 0.00548867, 0.0439951, -0.0115749, 2, 0, 
[2024-10-16 17:54:27.210039] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2323] , 10.2065, 0.000612307, -0.000269254, -0.00261163, 0.0174239, 0.00132631, -0.0583868, -0.0850135, -0.0773453, -0.592149, 0.999546, -0.00190881, -0.0300567, 0.000377926, -0.0140748, -0.0219806, 0.00804353, -0.0140748, -0.0219806, 0.00804353, 2, 0, 
[2024-10-16 17:54:27.215130] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2326] , 10.2065, 0.000709342, -0.000263707, -0.00291075, 0.0175193, 0.000935537, -0.0613096, -0.0709775, -0.0774226, -0.590936, 0.999543, -0.00191867, -0.0301687, 0.000408694, -0.000973246, -0.0407516, 0.00253013, -0.000973246, -0.0407516, 0.00253013, 2, 0, 
[2024-10-16 17:54:27.220019] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2328] , 10.2165, -4.2428e-05, -0.00032126, -0.00158515, 0.00199475, 0.000734118, -0.0466351, -0.215533, -0.0382506, -0.556914, 0.999541, -0.00194318, -0.0302415, 0.000440816, 0.0184146, 0.0393281, -0.0160412, 0.0184146, 0.0393281, -0.0160412, 2, 0, 
[2024-10-16 17:54:27.225033] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2330] , 10.2165, -3.54984e-05, -0.000317963, -0.0018255, 0.000905178, 0.000544025, -0.0494242, -0.215106, -0.0382436, -0.556723, 0.999545, -0.00193783, -0.0301013, 0.000396798, -0.00669065, 0.0390173, -0.00370373, -0.00669065, 0.0390173, -0.00370373, 2, 0, 
[2024-10-16 17:54:27.230160] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2334] , 10.2265, -3.40611e-05, -0.000315663, -0.00208024, -0.000178112, 0.000353398, -0.0522162, -0.214794, -0.0382352, -0.556507, 0.999545, -0.00196827, -0.0301082, 0.000433345, -0.0174879, -0.0424205, 0.0101264, -0.0174879, -0.0424205, 0.0101264, 2, 0, 
[2024-10-16 17:54:27.235156] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2336] , 10.2265, 5.52243e-06, -0.000309262, -0.00233438, 0.0036007, 0.000740909, -0.0533777, 0.100175, -0.000581019, -0.450904, 0.999541, -0.00197232, -0.0302256, 0.000452888, 0.00782881, -0.0247255, -0.00134533, 0.00782881, -0.0247255, -0.00134533, 2, 0, 
[2024-10-16 17:54:27.240146] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2339] , 10.2365, 2.8121e-05, -0.00030559, -0.00260572, 0.00439077, 0.000736935, -0.055498, 0.114179, -0.000620951, -0.444238, 0.999542, -0.00194711, -0.030184, 0.000417659, 0.019074, 0.0555805, -0.00858735, 0.019074, 0.0555805, -0.00858735, 2, 0, 
[2024-10-16 17:54:27.245190] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2342] , 10.2365, 4.78306e-05, -0.000301895, -0.00289212, 0.00468902, 0.000734111, -0.0579453, 0.103483, -0.000615272, -0.452996, 0.999546, -0.00193344, -0.030057, 0.000397056, -0.00821828, 0.0124009, 0.00282663, -0.00821828, 0.0124009, 0.00282663, 2, 0, 
[2024-10-16 17:54:27.250160] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2344] , 10.2465, 5.72159e-05, -0.000296439, -0.00320087, 0.00351967, 0.000982751, -0.0617173, -0.0127484, 0.0194479, -0.560549, 0.999544, -0.00196618, -0.0301415, 0.000435134, -0.0203427, -0.0639513, 0.00465333, -0.0203427, -0.0639513, 0.00465333, 2, 0, 
[2024-10-16 17:54:27.255166] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2347] , 10.2465, -0.000165202, -0.000391372, -0.00160726, 0.00379897, 0.000604073, -0.0448877, 0.0413116, 0.0196333, -0.488741, 0.999541, -0.00197613, -0.0302406, 0.000403131, 0.0115302, -0.00672364, -0.0108696, 0.0115302, -0.00672364, -0.0108696, 2, 0, 
[2024-10-16 17:54:27.260164] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2350] , 10.2565, -0.000146023, -0.000388651, -0.00183888, 0.00430789, 0.000694196, -0.0471827, 0.0581004, 0.0195741, -0.479972, 0.999544, -0.00194844, -0.0301405, 0.000348631, 0.0191194, 0.0665496, -0.00762912, 0.0191194, 0.0665496, -0.00762912, 2, 0, 
[2024-10-16 17:54:27.265553] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2353] , 10.2565, -0.000122941, -0.00038508, -0.00208012, 0.00463983, 0.000790025, -0.0496137, 0.0595659, 0.0195549, -0.481764, 0.999547, -0.00193428, -0.0300288, 0.000344305, -0.00865672, -0.00259401, 0.00828183, -0.00865672, -0.00259401, 0.00828183, 2, 0, 
[2024-10-16 17:54:27.270312] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2355] , 10.2665, -9.18622e-05, -0.000367169, -0.00236556, 0.00558561, 0.00222375, -0.0551293, 0.0987194, 0.0957635, -0.655793, 0.999544, -0.00194533, -0.0301352, 0.000386627, -0.0082067, -0.0618379, 0.0149661, -0.0082067, -0.0618379, 0.0149661, 2, 0, 
[2024-10-16 17:54:27.275176] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2358] , 10.2665, -6.721e-05, -0.00035507, -0.00264838, 0.00574683, 0.00270353, -0.0582528, 0.0823483, 0.0959223, -0.647494, 0.999541, -0.00192576, -0.030224, 0.000396856, 0.0178053, 0.0137054, -0.00728587, 0.0178053, 0.0137054, -0.00728587, 2, 0, 
[2024-10-16 17:54:27.280156] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2361] , 10.2765, -4.92091e-05, -0.000340657, -0.00295075, 0.0053662, 0.00318376, -0.0616485, 0.0508609, 0.0960757, -0.653474, 0.999545, -0.00190484, -0.0300986, 0.000349712, 0.00500706, 0.0623671, -0.00317275, 0.00500706, 0.0623671, -0.00317275, 2, 0, 
[2024-10-16 17:54:27.285121] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2363] , 10.2765, -4.75117e-05, -0.000337092, -0.003269, 0.00251229, 0.00175257, -0.065207, -0.177436, -0.056644, -0.677635, 0.999547, -0.00192175, -0.0300266, 0.000376709, -0.0234672, -0.0250268, 0.00542572, -0.0234672, -0.0250268, 0.00542572, 2, 0, 
[2024-10-16 17:54:27.290405] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2366] , 10.2865, -0.000229172, -0.000383201, -0.00140015, 0.0104407, 0.000633591, -0.0429361, 0.183179, -0.0583337, -0.546727, 0.999547, -0.00194634, -0.0300238, 0.000398229, -0.00726678, -0.052526, -0.00109704, -0.00726678, -0.052526, -0.00109704, 2, 0, 
[2024-10-16 17:54:27.295165] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2368] , 10.2865, -0.00017492, -0.000380784, -0.00162312, 0.0113299, 0.00034064, -0.0457872, 0.182101, -0.0583593, -0.551206, 0.999547, -0.00193715, -0.0300483, 0.000372746, 0.0193419, 0.0405126, -0.0138034, 0.0193419, 0.0405126, -0.0138034, 2, 0, 
[2024-10-16 17:54:27.300670] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2370] , 10.2965, -0.000156841, -0.000377012, -0.00187696, 0.0078421, 0.000352787, -0.0504347, -0.095474, -0.039487, -0.669793, 0.999551, -0.00192265, -0.0299026, 0.00032872, -0.000426933, 0.0453825, -0.00225908, -0.000426933, 0.0453825, -0.00225908, 2, 0, 
[2024-10-16 17:54:27.305211] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2373] , 10.2965, -0.000122771, -0.000375767, -0.00213845, 0.00697763, 0.000156485, -0.0538481, -0.1162, -0.0393809, -0.673039, 0.999551, -0.00195003, -0.0298994, 0.000364016, -0.0279612, -0.04763, 0.0084634, -0.0279612, -0.04763, 0.0084634, 2, 0, 
[2024-10-16 17:54:27.310170] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2376] , 10.3065, -8.51254e-05, -0.00037546, -0.00241056, 0.0067217, -3.95539e-05, -0.056754, -0.102448, -0.0393342, -0.653465, 0.999547, -0.00198558, -0.0300416, 0.000397448, 0.00232869, -0.0312181, -0.0016591, 0.00232869, -0.0312181, -0.0016591, 2, 0, 
[2024-10-16 17:54:27.315186] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2378] , 10.3065, -4.35613e-05, -0.000371102, -0.00267818, 0.0071418, 0.000481901, -0.0570012, -0.0428857, 0.0180104, -0.431535, 0.999548, -0.00195467, -0.0300022, 0.000360806, 0.0212764, 0.056707, -0.00843604, 0.0212764, 0.056707, -0.00843604, 2, 0, 
[2024-10-16 17:54:27.320414] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2381] , 10.3165, -0.000342285, -0.00040767, -0.00130354, -0.000242298, 0.00106786, -0.0463069, -0.231931, 0.0189968, -0.639355, 0.999551, -0.00191112, -0.0298957, 0.000312575, -0.000226923, 0.0209296, 0.00973353, -0.000226923, 0.0209296, 0.00973353, 2, 0, 
[2024-10-16 17:54:27.325251] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2384] , 10.3165, -0.000345463, -0.000402211, -0.00154379, -0.00141775, 0.00116184, -0.0495088, -0.233938, 0.0190119, -0.639035, 0.999549, -0.00191404, -0.0299686, 0.000353441, -0.0151459, -0.0681567, 0.00722129, -0.0151459, -0.0681567, 0.00722129, 2, 0, 
[2024-10-16 17:54:27.330773] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2387] , 10.3265, -0.000320971, -0.00040399, -0.00178581, 0.00132476, 0.000370629, -0.0511109, 0.0217178, -0.0389489, -0.534743, 0.999545, -0.00193499, -0.0301068, 0.000354438, 0.00841233, -0.00891133, -0.0132137, 0.00841233, -0.00891133, -0.0132137, 2, 0, 
[2024-10-16 17:54:27.335479] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2389] , 10.3265, -0.000310006, -0.000402605, -0.00204512, 0.00183802, 0.000175435, -0.0534722, 0.0417276, -0.0389668, -0.519189, 0.999548, -0.00191493, -0.0300027, 0.000295022, 0.0205644, 0.0717683, -0.0149676, 0.0205644, 0.0717683, -0.0149676, 2, 0, 
[2024-10-16 17:54:27.340281] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2392] , 10.3365, -0.000303813, -0.000402222, -0.00232075, 0.00176952, -1.87641e-05, -0.056166, 0.0307494, -0.0389236, -0.522834, 0.999552, -0.00190538, -0.0298849, 0.000273328, -0.00970658, -0.00788763, 0.00820155, -0.00970658, -0.00788763, 0.00820155, 2, 0, 
[2024-10-16 17:54:27.345512] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2395] , 10.3365, -0.00030738, -0.000395906, -0.0026118, 0.000782771, 0.000773027, -0.0589094, -0.0322232, 0.0398371, -0.519606, 0.999547, -0.00191874, -0.0300234, 0.000322873, -0.00701211, -0.0758433, 0.010959, -0.00701211, -0.0758433, 0.010959, 2, 0, 
[2024-10-16 17:54:27.350263] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2398] , 10.3465, -0.000303968, -0.000391542, -0.00291326, 0.000694225, 0.000972275, -0.0614633, -0.0251468, 0.0398221, -0.515038, 0.999544, -0.00189814, -0.0301271, 0.000316448, 0.0208719, 0.0189261, -0.00505049, 0.0208719, 0.0189261, -0.00505049, 2, 0, 
[2024-10-16 17:54:27.355308] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2400] , 10.3465, -0.000402336, -0.000316649, -0.00161541, -0.00201448, 0.00240543, -0.0481168, -0.0229013, 0.0392071, -0.520656, 0.999547, -0.00188033, -0.0300323, 0.000314251, 0.0123311, 0.075243, -0.00152788, 0.0123311, 0.075243, -0.00152788, 2, 0, 
[2024-10-16 17:54:27.360293] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2403] , 10.3565, -0.000412975, -0.000303962, -0.00186405, -0.00207613, 0.00260286, -0.050769, -0.0201766, 0.0391784, -0.522179, 0.99955, -0.0018852, -0.0299524, 0.000333205, -0.0236967, -0.0293552, 0.00970899, -0.0236967, -0.0293552, 0.00970899, 2, 0, 
[2024-10-16 17:54:27.365613] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2405] , 10.3565, -0.000397102, -0.000307568, -0.0021292, 0.00045898, 0.00113143, -0.0537145, 0.137233, -0.0566832, -0.536878, 0.999545, -0.0019368, -0.0301175, 0.000375736, -0.0164122, -0.0685354, -0.00897158, -0.0164122, -0.0685354, -0.00897158, 2, 0, 
[2024-10-16 17:54:27.370402] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2408] , 10.3665, -0.000387096, -0.000302961, -0.00240616, 0.00159848, 0.0008408, -0.0565487, 0.159619, -0.0568719, -0.544491, 0.999543, -0.00195354, -0.030167, 0.000340606, 0.0181832, 0.0477688, -0.0129243, 0.0181832, 0.0477688, -0.0129243, 2, 0, 
[2024-10-16 17:54:27.375274] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2411] , 10.3665, -0.000379189, -0.000299567, -0.0027021, 0.00221539, 0.000553421, -0.0597579, 0.152093, -0.0569505, -0.564267, 0.999549, -0.0019195, -0.0299779, 0.000305842, 0.00789698, 0.0572778, 0.00160149, 0.00789698, 0.0572778, 0.00160149, 2, 0, 
[2024-10-16 17:54:27.380272] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2413] , 10.3765, -0.000381127, -0.000287455, -0.00302289, 0.000968462, 0.00169996, -0.064559, -0.00431921, 0.0573966, -0.719126, 0.999549, -0.00193435, -0.0299816, 0.000331173, -0.0268879, -0.0626238, 0.00854382, -0.0268879, -0.0626238, 0.00854382, 2, 0, 
[2024-10-16 17:54:27.385307] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2416] , 10.3765, 0.000193318, -3.64309e-05, -0.00137433, 0.0173315, 0.00557297, -0.0391449, 0.210732, 0.0576866, -0.477568, 0.999541, -0.00196107, -0.030216, 0.000388341, -0.00564576, -0.0474014, -0.0116279, -0.00564576, -0.0474014, -0.0116279, 2, 0, 
[2024-10-16 17:54:27.390281] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2419] , 10.3865, 0.000278532, -7.86044e-06, -0.00157725, 0.0180632, 0.00586226, -0.0416047, 0.198822, 0.0577396, -0.480067, 0.999543, -0.00195377, -0.0301796, 0.000339328, 0.0211839, 0.0684923, -0.00749173, 0.0211839, 0.0684923, -0.00749173, 2, 0, 
[2024-10-16 17:54:27.395278] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2421] , 10.3865, 0.000300449, 2.21903e-05, -0.00181341, 0.0114279, 0.00614952, -0.0464407, -0.276899, 0.0576043, -0.635199, 0.999548, -0.00191522, -0.0300001, 0.000334462, 0.00151479, 0.0391474, 0.0174038, 0.00151479, 0.0391474, 0.0174038, 2, 0, 
[2024-10-16 17:54:27.400526] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2424] , 10.3965, 0.000349976, 5.37703e-05, -0.00205313, 0.00958887, 0.00644169, -0.0495406, -0.301471, 0.0577864, -0.630834, 0.999547, -0.00192005, -0.0300454, 0.000381441, -0.0213044, -0.0722559, 0.00365896, -0.0213044, -0.0722559, 0.00365896, 2, 0, 
[2024-10-16 17:54:27.405285] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2427] , 10.3965, 0.000394206, 8.68174e-05, -0.00230169, 0.00808364, 0.0067353, -0.0520624, -0.301279, 0.0579643, -0.603583, 0.999541, -0.0019554, -0.0302175, 0.000383421, 0.00920567, -0.0207021, -0.0099453, 0.00920567, -0.0207021, -0.0099453, 2, 0, 
[2024-10-16 17:54:27.410279] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2429] , 10.4065, 0.000450195, 0.000112803, -0.00255321, 0.00900067, 0.00581729, -0.0531879, -0.121633, -0.0385966, -0.473362, 0.999545, -0.00191306, -0.0301169, 0.000337657, 0.0252298, 0.0825113, -0.0028532, 0.0252298, 0.0825113, -0.0028532, 2, 0, 
[2024-10-16 17:54:27.415282] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2432] , 10.4065, 0.000493758, 0.000141444, -0.00282542, 0.00840434, 0.00562457, -0.0554684, -0.120461, -0.038548, -0.465148, 0.999549, -0.00188997, -0.0299642, 0.000324094, -0.00720654, 0.000786221, 0.00197203, -0.00720654, 0.000786221, 0.00197203, 2, 0, 
[2024-10-16 17:54:27.420266] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2435] , 10.4165, -0.000147133, -0.000272366, -0.00145286, 0.00399913, 0.000718314, -0.050389, -0.128076, -0.0401487, -0.77819, 0.999553, -0.00192877, -0.0298331, 0.000335156, -0.0223316, -0.0896241, 0.0014141, -0.0223316, -0.0896241, 0.0014141, 2, 0, 
[2024-10-16 17:54:27.425330] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2436] , 10.4165, -0.000120561, -0.000274183, -0.00168209, 0.0043569, -4.15487e-05, -0.0503931, -0.0634064, -0.0768805, -0.52303, 0.999549, -0.00194903, -0.0299713, 0.000344229, 0.014343, 0.0198793, -0.00536465, 0.014343, 0.0198793, -0.00536465, 2, 0, 
[2024-10-16 17:54:27.430702] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2440] , 10.4265, -9.14055e-05, -0.000275573, -0.00193578, 0.00479939, -0.000430117, -0.0524582, -0.0276223, -0.0769398, -0.496505, 0.999554, -0.00190104, -0.0297888, 0.000309301, 0.0171515, 0.0860766, 0.00837312, 0.0171515, 0.0860766, 0.00837312, 2, 0, 
[2024-10-16 17:54:27.435525] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2443] , 10.4265, -6.17822e-05, -0.000278977, -0.0022061, 0.00507068, -0.000821237, -0.0550847, -0.0122415, -0.0770711, -0.502046, 0.999557, -0.00188643, -0.0296983, 0.000342188, -0.0195603, -0.0367064, 0.0111659, -0.0195603, -0.0367064, 0.0111659, 2, 0, 
[2024-10-16 17:54:27.440426] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2445] , 10.4365, -2.78708e-05, -0.000282376, -0.00249588, 0.00639785, -0.000961326, -0.0583384, 0.105865, -0.0573561, -0.545029, 0.999551, -0.00193656, -0.0298942, 0.000378027, -0.0207657, -0.0813438, -0.00711743, -0.0207657, -0.0813438, -0.00711743, 2, 0, 
[2024-10-16 17:54:27.445431] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2448] , 10.4365, 5.33219e-06, -0.000287842, -0.00279428, 0.00692737, -0.00124913, -0.0612326, 0.105932, -0.0574699, -0.561742, 0.999549, -0.00195548, -0.0299593, 0.000355677, 0.0233565, 0.0499407, -0.0125278, 0.0233565, 0.0499407, -0.0125278, 2, 0, 
[2024-10-16 17:54:27.450387] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2451] , 10.4465, 4.07864e-05, -0.000294879, -0.00310867, 0.00703729, -0.00153767, -0.0644493, 0.0775034, -0.0574778, -0.588901, 0.999556, -0.00190151, -0.029744, 0.000313618, 0.0105868, 0.0776235, 0.0123169, 0.0105868, 0.0776235, 0.0123169, 2, 0, 
[2024-10-16 17:54:27.455415] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2453] , 10.4465, -0.000458501, -0.000204104, -0.00149071, -0.00186563, -0.000179819, -0.0453462, -0.0246859, -0.0562952, -0.475705, 0.999553, -0.0019085, -0.0298337, 0.000402043, -0.0270538, -0.0613183, 0.00981249, -0.0270538, -0.0613183, 0.00981249, 2, 0, 
[2024-10-16 17:54:27.460403] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2456] , 10.4565, -0.000408238, -0.000183262, -0.00173059, 0.00391622, 0.00180818, -0.0484116, 0.321566, 0.0763948, -0.506911, 0.999546, -0.00195746, -0.0300589, 0.00041986, -0.00221992, -0.0709287, -0.015704, -0.00221992, -0.0709287, -0.015704, 2, 0, 
[2024-10-16 17:54:27.465513] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2459] , 10.4565, -0.000381276, -0.000172838, -0.00197904, 0.00600548, 0.00219306, -0.0508674, 0.349057, 0.0762626, -0.502006, 0.999546, -0.00193934, -0.0300634, 0.000364332, 0.0305811, 0.0735712, -0.00578822, 0.0305811, 0.0735712, -0.00578822, 2, 0, 
[2024-10-16 17:54:27.470526] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2461] , 10.4665, -0.000348588, -0.000160717, -0.00224683, 0.00767469, 0.0025741, -0.0538711, 0.346045, 0.0761345, -0.52283, 0.999553, -0.00188105, -0.0298409, 0.000344135, 0.00719998, 0.0542326, 0.0123802, 0.00719998, 0.0542326, 0.0123802, 2, 0, 
[2024-10-16 17:54:27.475390] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2464] , 10.4665, -0.000337053, -0.000148623, -0.00254006, 0.00521683, 0.00272796, -0.0588121, 0.0250326, 0.0580563, -0.704089, 0.999551, -0.00189389, -0.0298906, 0.000380115, -0.0254958, -0.0904238, 0.0013225, -0.0254958, -0.0904238, 0.0013225, 2, 0, 
[2024-10-16 17:54:27.480636] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2467] , 10.4765, -0.000310153, -0.000134328, -0.00284265, 0.00522703, 0.00301651, -0.0626736, 0.014281, 0.0579239, -0.735064, 0.999545, -0.00194275, -0.0301137, 0.00038553, 0.00311045, -0.0337036, -0.0155274, 0.00311045, -0.0337036, -0.0155274, 2, 0, 
[2024-10-16 17:54:27.485437] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2469] , 10.4765, -0.000285637, -0.000118343, -0.00316608, 0.00492908, 0.00330926, -0.0665003, -0.00853598, 0.0580062, -0.74429, 0.999548, -0.00190971, -0.0300135, 0.000334225, 0.0301449, 0.0910603, 0.00271285, 0.0301449, 0.0910603, 0.00271285, 2, 0, 
[2024-10-16 17:54:27.490390] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2472] , 10.4865, 2.92068e-06, -2.47423e-05, -0.00138446, 0.00853345, 0.00383647, -0.0400623, -0.213526, -0.0185844, -0.626143, 0.999548, -0.00188313, -0.0300103, 0.000332042, -0.0108749, 0.0189391, 0.011491, -0.0108749, 0.0189391, 0.011491, 2, 0, 
[2024-10-16 17:54:27.495404] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [2475] , 10.4865, 3.93177e-05, -5.77496e-06, -0.00159793, 0.00702408, 0.00374216, -0.0437979, -0.237906, -0.0186568, -0.659353, 0.999544, -0.00193603, -0.0301188, 0.000370178, -0.0250133, -0.0863732, -0.00944933, -0.0250133, -0.0863732, -0.00944933, 2, 0, 
