[2024-10-16 17:54:17.983659] [0x0000007f8e48c010] [LogDataTag] [0x000063df] [1] , Controller Time [s], Algorithm Execution Time [us], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Phi [rad], Theta [rad], Psi [rad], omega_x [rad/s], omega_y [rad/s], omega_z [rad/s], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m], User Velocity y [m], User Velocity z [m], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Deisred Phi rate [rad/s], Deisred Theta rate [rad/s], Deisred Psi rate [rad/s], Desired Omega_x [rad/s], Desired Omega_y [rad/s], Desired Omega_z [rad/s], Desired Alpha_x [rad/s^2], Desired Alpha_y [rad/s^2], Desired Alpha_z [rad/s^2], Error in x [m], Error in y [m], Error in z [m], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in omega_x [rad/s], Error in omega_y [rad/s], Error in omega_z [rad/s], Virtual Mu x I [N], Virtual Mu y I [N], Virtual Mu z I [N], Virtual Mu x J [N], Virtual Mu y J [N], Virtual Mu z J [N], u1 [N], u2 [Nm], u3 [Nm], u4 [Nm], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust Motor 1 [-], Normalized Thrust Motor 2 [-], Normalized Thrust Motor 3 [-], Normalized Thrust Motor 4 [-], 
[2024-10-16 17:54:45.577267] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13481] , 28.5765, 484, 0.0332754, -0.0292461, -0.95666, -0.0113203, 0.0106421, -0.0825844, 0.00688095, 0.0341659, 0.115297, -0.0142208, 0.122359, -0.00813534, 0, 0, -1, 0, 0, 0, 0.0785235, 0.000366765, 0, -0.0103898, -0.394133, 0, -0.0103898, -0.394124, 0.00271199, 0.261178, -2.40191, 0.0122087, 0.0332754, -0.0292461, 0.04334, 0.0524486, -0.338699, 1.11539, -0.0113203, 0.0106421, -0.0825844, -0.0716426, 0.0337992, 0.115297, -1.08263, 0.16593, 0.972513, -0.00383099, 0.516483, -0.0108473, -1.22882, 2.25669, -27.8189, -0.0102149, 2.19148, -27.8512, 27.9373, 0.0529033, -0.118847, -0.137276, 6.22268, 7.07108, 7.13656, 7.50701, 0.440611, 0.480509, 0.483516, 0.500387, 
[2024-10-16 17:54:45.587328] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13487] , 28.5865, 507, 0.0332754, -0.0292461, -0.95666, -0.0113203, 0.0106421, -0.0825844, 0.00688095, 0.0341659, 0.115297, -0.0142208, 0.122359, -0.00813534, 0, 0, -1, 0, 0, 0, 0.0785584, 0.000402628, 0, -0.119795, -0.371061, 0, -0.119795, -0.371052, 0.00255323, 0.38127, -3.44799, 0.01992, 0.0332754, -0.0292461, 0.04334, 0.0527813, -0.338991, 1.11583, -0.0113203, 0.0106421, -0.0825844, -0.0716775, 0.0337633, 0.115297, -1.08335, 0.166268, 0.973666, 0.105574, 0.493411, -0.0106886, -1.23004, 2.25777, -27.8216, -0.0112148, 2.19267, -27.8539, 27.9401, 0.0394051, -0.138613, -0.137516, 6.2026, 7.09137, 7.05669, 7.58946, 0.439641, 0.481441, 0.479847, 0.504116, 
[2024-10-16 17:54:45.597318] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13494] , 28.5965, 500, 0.0336975, -0.0290419, -0.957496, -0.00805847, 0.0126855, -0.0688284, 0.00692956, 0.03605, 0.115128, 0.0043358, 0.261276, -0.0137574, 0, 0, -1, 0, 0, 0, 0.0762734, 0.001197, 0, -0.148208, -0.300965, 0, -0.148208, -0.300958, 0.00208554, -0.0342475, -3.28403, 0.0201281, 0.0336975, -0.0290419, 0.0425041, 0.0531141, -0.339284, 1.11626, -0.00805847, 0.0126855, -0.0688284, -0.0693438, 0.034853, 0.115128, -1.08406, 0.166606, 0.974819, 0.152544, 0.562234, -0.015843, -1.31047, 2.2107, -28.1187, -0.0337003, 2.15156, -28.1538, 28.2359, 0.0176064, -0.142819, -0.135545, 6.31985, 7.13172, 7.06578, 7.71858, 0.445285, 0.483293, 0.480265, 0.509942, 
[2024-10-16 17:54:45.607267] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13501] , 28.6065, 487, 0.0338259, -0.0289381, -0.958379, -0.0444285, -0.00348467, -0.0815497, 0.00691159, 0.0382149, 0.114846, -0.0159231, 0.210598, -0.0316848, 0, 0, -1, 0, 0, 0, 0.085658, -0.0267277, 0, -0.173557, -0.209259, 0, -0.173557, -0.209254, 0.0014463, -0.443872, -2.0772, 0.0134984, 0.0338259, -0.0289381, 0.0416206, 0.053451, -0.339574, 1.11669, -0.0444285, -0.00348467, -0.0815497, -0.0787464, 0.0649426, 0.114846, -1.08476, 0.166955, 0.975971, 0.157634, 0.419852, -0.0331311, -0.611037, 2.52112, -27.7313, 0.741613, 2.38286, -27.7403, 27.8523, 0.00890283, -0.112596, -0.127268, 6.34144, 6.95902, 7.00736, 7.54451, 0.44632, 0.475343, 0.477575, 0.502084, 
[2024-10-16 17:54:45.617266] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13507] , 28.6165, 491, 0.0341434, -0.0287674, -0.95929, 0.0090084, 0.0174533, -0.0601009, 0.0069087, 0.0394593, 0.114609, -0.0102944, 0.167063, -0.0230625, 0, 0, -1, 0, 0, 0, 0.0737838, 0.0104132, 0, -0.00678725, -0.582223, 0, -0.00678725, -0.582209, 0.00402237, -0.735182, -0.308886, 0.00275429, 0.0341434, -0.0287674, 0.0407099, 0.0537893, -0.339863, 1.1171, 0.0090084, 0.0174533, -0.0601009, -0.0668751, 0.0290461, 0.114609, -1.08555, 0.167604, 0.977119, -0.00350713, 0.749272, -0.0270849, -1.66084, 2.10891, -28.2209, -0.294389, 2.08975, -28.2697, 28.3483, 0.0189665, -0.0974382, -0.130076, 6.47467, 7.05998, 7.19986, 7.61382, 0.45267, 0.479998, 0.486414, 0.505217, 
[2024-10-16 17:54:45.627277] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13513] , 28.6265, 483, 0.0344864, -0.0284476, -0.961007, -0.033289, 0.00664051, -0.0763689, 0.00710417, 0.0429976, 0.114261, 0.0331043, 0.0488335, -0.0124827, 0, 0, -1, 0, 0, 0, 0.0789559, -0.0218191, 0, -0.12231, -0.0589157, 0, -0.12231, -0.0589142, 0.000418543, -0.144482, -0.304011, 0.00366792, 0.0344864, -0.0284476, 0.0389934, 0.0541307, -0.340151, 1.11751, -0.033289, 0.00664051, -0.0763689, -0.0718518, 0.0648167, 0.114261, -1.08621, 0.167894, 0.978265, 0.155414, 0.107748, -0.0129012, -0.854544, 2.30639, -27.6829, 0.604459, 2.19206, -27.6988, 27.792, 0.0149688, -0.0417082, -0.136776, 6.47103, 6.75251, 7.21109, 7.35734, 0.452497, 0.46575, 0.486928, 0.493596, 
[2024-10-16 17:54:45.637293] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13520] , 28.6365, 489, 0.0344864, -0.0284476, -0.961007, -0.033289, 0.00664051, -0.0763689, 0.00710417, 0.0429976, 0.114261, 0.0331043, 0.0488335, -0.0124827, 0, 0, -1, 0, 0, 0, 0.0789909, -0.0217798, 0, -0.0708164, -0.334952, 0, -0.0708164, -0.334943, 0.00237953, -0.098548, 1.738, -0.0100782, 0.0344864, -0.0284476, 0.0389934, 0.0544756, -0.340436, 1.1179, -0.033289, 0.00664051, -0.0763689, -0.0718867, 0.0647774, 0.114261, -1.08693, 0.168543, 0.979408, 0.103921, 0.383777, -0.0148622, -0.855812, 2.30744, -27.6853, 0.603423, 2.19323, -27.7012, 27.7945, 0.0246197, -0.027635, -0.136039, 6.48775, 6.74066, 7.26779, 7.29828, 0.453291, 0.465196, 0.489517, 0.490907, 
[2024-10-16 17:54:45.647325] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13526] , 28.6465, 493, 0.0348029, -0.0282215, -0.961787, -0.0103684, 0.0172509, -0.0603439, 0.00732514, 0.0442007, 0.114184, 0.0243245, 0.196347, -0.0130196, 0, 0, -1, 0, 0, 0, 0.0719419, -0.00618357, 0, -0.0362693, -0.402186, 0, -0.0362693, -0.402175, 0.00294604, 0.153641, 1.7999, -0.0105145, 0.0348029, -0.0282215, 0.0382135, 0.0548205, -0.34072, 1.11829, -0.0103684, 0.0172509, -0.0603439, -0.0646167, 0.0503843, 0.114184, -1.08765, 0.16919, 0.98055, 0.0605938, 0.598523, -0.0159657, -1.31364, 2.09324, -28.0446, 0.173636, 2.02365, -28.0799, 28.1532, 0.0356813, -0.0440982, -0.135118, 6.51251, 6.89982, 7.33799, 7.40293, 0.454465, 0.472603, 0.492716, 0.495668, 
[2024-10-16 17:54:45.657295] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13533] , 28.6565, 489, 0.0348735, -0.0280743, -0.962588, -0.0561884, 0.00553085, -0.0697337, 0.00720899, 0.0456475, 0.113999, -0.01532, 0.130783, -0.0274414, 0, 0, -1, 0, 0, 0, 0.0772561, -0.0397653, 0, -0.12805, -0.11788, 0, -0.12805, -0.117877, 0.000849785, 0.433925, 1.14423, -0.00608869, 0.0348735, -0.0280743, 0.0374123, 0.0551685, -0.341002, 1.11867, -0.0561884, 0.00553085, -0.0697337, -0.0700471, 0.0854127, 0.113999, -1.0883, 0.169694, 0.981692, 0.11273, 0.24866, -0.0282912, -0.428755, 2.3155, -27.7484, 1.10379, 2.1493, -27.7431, 27.8481, 0.0392959, -0.0331469, -0.128542, 6.47231, 6.81979, 7.28179, 7.27425, 0.452559, 0.468886, 0.490156, 0.489812, 
[2024-10-16 17:54:45.667305] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13539] , 28.6665, 490, 0.0349651, -0.0276913, -0.964165, -0.0327634, 0.0125656, -0.0537833, 0.00704824, 0.0473817, 0.113455, -0.0220876, 0.114143, -0.0234904, 0, 0, -1, 0, 0, 0, 0.0730043, -0.0246554, 0, -0.0629175, -0.511231, 0, -0.0629175, -0.511218, 0.00360325, 0.191478, 1.43254, -0.00910814, 0.0349651, -0.0276913, 0.035835, 0.0555172, -0.341283, 1.11904, -0.0327634, 0.0125656, -0.0537833, -0.065956, 0.0720372, 0.113455, -1.089, 0.170548, 0.982832, 0.0408299, 0.625361, -0.0270936, -0.887898, 2.16411, -28.049, 0.692042, 2.05298, -28.0629, 28.1464, 0.0408963, -0.0623645, -0.128588, 6.46823, 6.97276, 7.28516, 7.42021, 0.452365, 0.475978, 0.490309, 0.496453, 
[2024-10-16 17:54:45.677306] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13545] , 28.6765, 486, 0.034889, -0.0275718, -0.964912, -0.0549974, 0.00598925, -0.0561597, 0.00676574, 0.047667, 0.113181, -0.0227662, 0.0134501, -0.026763, 0, 0, -1, 0, 0, 0, 0.076251, -0.0407108, 0, -0.0922219, -0.360751, 0, -0.0922219, -0.360743, 0.00244073, 0.206021, -0.184393, 0.0012298, 0.034889, -0.0275718, 0.0350881, 0.0558669, -0.34156, 1.1194, -0.0549974, 0.00598925, -0.0561597, -0.0694852, 0.0883778, 0.113181, -1.08966, 0.171269, 0.983967, 0.0694557, 0.374193, -0.0292037, -0.45501, 2.28772, -27.937, 1.13766, 2.13556, -27.9295, 28.0342, 0.0387641, -0.0757729, -0.12697, 6.4146, 6.97825, 7.21394, 7.42738, 0.449814, 0.476231, 0.487058, 0.496778, 
[2024-10-16 17:54:45.687274] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13552] , 28.6865, 488, 0.034888, -0.02738, -0.965579, -0.0249327, 0.0203992, -0.042221, 0.00637229, 0.0481614, 0.112874, -0.0464705, 0.0995627, -0.0297999, 0, 0, -1, 0, 0, 0, 0.0679935, -0.0195787, 0, -0.0384132, -0.493706, 0, -0.0384132, -0.493696, 0.00314601, 0.0555311, -0.786714, 0.00431636, 0.034888, -0.02738, 0.0344207, 0.0562158, -0.341836, 1.11975, -0.0249327, 0.0203992, -0.042221, -0.0616212, 0.0677401, 0.112874, -1.09035, 0.172152, 0.985099, -0.00805724, 0.593259, -0.032946, -1.03946, 2.00122, -28.2503, 0.553546, 1.92546, -28.2693, 28.3402, 0.0421992, -0.104627, -0.124532, 6.41536, 7.14248, 7.21823, 7.56411, 0.44985, 0.483787, 0.487254, 0.502971, 
[2024-10-16 17:54:45.697288] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13558] , 28.6965, 489, 0.0348856, -0.0271898, -0.96621, -0.058435, 0.0038997, -0.0532223, 0.00576342, 0.0484891, 0.112714, -0.0627688, 0.0106963, -0.0200191, 0, 0, -1, 0, 0, 0, 0.0779722, -0.0438857, 0, -0.14071, -0.135099, 0, -0.14071, -0.135097, 0.00077863, 0.130563, -1.54035, 0.00819701, 0.0348856, -0.0271898, 0.0337901, 0.0565647, -0.342109, 1.1201, -0.058435, 0.0038997, -0.0532223, -0.0722088, 0.0923748, 0.112714, -1.09097, 0.17283, 0.986227, 0.0779414, 0.145793, -0.0207977, -0.390765, 2.31436, -27.9246, 1.22568, 2.1828, -27.911, 28.023, 0.0363766, -0.0817384, -0.130399, 6.39348, 6.97694, 7.1989, 7.45371, 0.448807, 0.476171, 0.48637, 0.497973, 
[2024-10-16 17:54:45.707273] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13564] , 28.7065, 490, 0.0347352, -0.0270448, -0.96681, -0.0511192, 0.0141331, -0.0404558, 0.00522571, 0.0480159, 0.112428, -0.0509271, -0.0577496, -0.0399962, 0, 0, -1, 0, 0, 0, 0.0710727, -0.0377887, 0, -0.00354825, -0.344608, 0, -0.00354825, -0.344604, 0.00180081, -0.229417, -0.375743, 0.000180546, 0.0347352, -0.0270448, 0.0331903, 0.0569135, -0.342381, 1.12044, -0.0511192, 0.0141331, -0.0404558, -0.065847, 0.0858046, 0.112428, -1.09169, 0.173754, 0.987354, -0.0473789, 0.286854, -0.041797, -0.528284, 2.11082, -28.2125, 1.06633, 2.0094, -28.2047, 28.2963, 0.0418292, -0.069683, -0.11999, 6.50597, 7.05224, 7.28484, 7.45321, 0.454155, 0.479642, 0.490295, 0.49795, 
[2024-10-16 17:54:45.717309] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13571] , 28.7165, 521, 0.0347196, -0.026843, -0.967214, -0.0426561, 0.0131008, -0.0409589, 0.00413704, 0.0480746, 0.112071, -0.123255, -0.00506309, -0.0376512, 0, 0, -1, 0, 0, 0, 0.0733498, -0.0320464, 0, -0.053022, -0.284104, 0, -0.053022, -0.284101, 0.00117534, 0.0723096, -0.194002, -0.00204374, 0.0347196, -0.026843, 0.032786, 0.0572609, -0.342652, 1.12077, -0.0426561, 0.0131008, -0.0409589, -0.0692127, 0.080121, 0.112071, -1.09235, 0.174612, 0.988479, -0.0702332, 0.279038, -0.0388265, -0.693141, 2.12343, -28.1728, 0.903082, 2.0711, -28.1708, 28.2612, 0.0567147, -0.063035, -0.120632, 6.47906, 7.05848, 7.32833, 7.39537, 0.452879, 0.479929, 0.492276, 0.495325, 
[2024-10-16 17:54:45.727274] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13577] , 28.7265, 488, 0.0346166, -0.0266869, -0.967608, -0.051442, 0.0128283, -0.0331072, 0.00314573, 0.0473138, 0.111533, -0.123522, -0.0938674, -0.0640106, 0, 0, -1, 0, 0, 0, 0.0731762, -0.0374089, 0, -0.029873, -0.120148, 0, -0.029873, -0.120148, 0.000377953, 0.0950003, 0.217689, -0.00554654, 0.0346166, -0.0266869, 0.0323915, 0.0576081, -0.34292, 1.1211, -0.051442, 0.0128283, -0.0331072, -0.0700305, 0.0847226, 0.111533, -1.09304, 0.175413, 0.989599, -0.093649, 0.0262801, -0.0643885, -0.520099, 2.1232, -28.3488, 1.06055, 2.07876, -28.337, 28.433, 0.0620276, -0.029065, -0.107624, 6.62907, 7.0583, 7.43838, 7.30723, 0.459965, 0.479921, 0.497277, 0.491315, 
[2024-10-16 17:54:45.737379] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13583] , 28.7365, 555, 0.0344753, -0.0265072, -0.96794, -0.0545885, 0.00905054, -0.0266031, 0.0019515, 0.0466641, 0.111037, -0.131204, -0.0710857, -0.0573155, 0, 0, -1, 0, 0, 0, 0.0760414, -0.039305, 0, -0.0176852, -0.114583, 0, -0.0176852, -0.114583, 0.000223609, 0.175077, 1.08686, -0.00977722, 0.0344753, -0.0265072, 0.0320596, 0.0579542, -0.343187, 1.12142, -0.0545885, 0.00905054, -0.0266031, -0.0740899, 0.0859691, 0.111037, -1.09374, 0.17626, 0.990715, -0.113519, 0.0434972, -0.0575391, -0.455002, 2.18998, -28.4946, 1.11989, 2.17134, -28.4776, 28.5822, 0.0697257, -0.0128679, -0.110315, 6.6839, 7.06485, 7.54122, 7.29224, 0.462539, 0.480222, 0.501936, 0.490632, 
[2024-10-16 17:54:45.747270] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13589] , 28.7465, 491, 0.034241, -0.0263979, -0.968327, -0.0624349, 0.00492857, -0.028009, 0.000526473, 0.0455527, 0.110591, -0.160144, -0.144869, -0.0520221, 0, 0, -1, 0, 0, 0, 0.0796695, -0.0440282, 0, 0.0363509, -0.124139, 0, 0.0363509, -0.124139, 6.5356e-05, 0.23707, 1.48789, -0.0110847, 0.034241, -0.0263979, 0.031673, 0.058299, -0.343452, 1.12174, -0.0624349, 0.00492857, -0.028009, -0.0791431, 0.0895809, 0.110591, -1.09448, 0.17712, 0.991825, -0.196495, -0.0207292, -0.0520875, -0.295223, 2.26635, -28.4329, 1.2515, 2.27014, -28.4065, 28.5246, 0.0875007, 0.00118886, -0.11212, 6.66095, 7.05011, 7.60744, 7.20608, 0.461463, 0.479544, 0.504928, 0.486699, 
[2024-10-16 17:54:45.757277] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13595] , 28.7565, 489, 0.0337999, -0.0260794, -0.968807, -0.06373, 0.00504791, -0.0244486, -0.00220404, 0.0428357, 0.109796, -0.1357, -0.206054, -0.0308131, 0, 0, -1, 0, 0, 0, 0.0815684, -0.042617, 0, 0.11236, -0.184053, 0, 0.11236, -0.184053, -0.000405661, 0.426932, 1.38086, -0.0098876, 0.0337999, -0.0260794, 0.0311935, 0.0586414, -0.343716, 1.12206, -0.06373, 0.00504791, -0.0244486, -0.0837725, 0.0854527, 0.109796, -1.09527, 0.178016, 0.992931, -0.248061, -0.0220009, -0.0304075, -0.254715, 2.25174, -28.4923, 1.21368, 2.32883, -28.4614, 28.5823, 0.103846, 0.000517455, -0.121317, 6.61414, 7.08058, 7.67968, 7.20793, 0.459262, 0.480945, 0.508188, 0.486783, 
[2024-10-16 17:54:45.767273] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13601] , 28.7665, 485, 0.0331287, -0.0257903, -0.969104, -0.0712458, 0.0073739, -0.0209134, -0.00452502, 0.0391586, 0.109324, -0.138589, -0.23321, -0.0269613, 0, 0, -1, 0, 0, 0, 0.0810983, -0.0446086, 0, 0.158209, -0.158388, 0, 0.158209, -0.158386, -0.000716707, 0.74763, 0.730689, -0.00828418, 0.0331287, -0.0257903, 0.0308956, 0.0589794, -0.343977, 1.12237, -0.0712458, 0.0073739, -0.0209134, -0.0856233, 0.0837672, 0.109324, -1.09611, 0.17887, 0.994029, -0.296798, -0.0748235, -0.0262445, -0.0848355, 2.19554, -28.564, 1.27334, 2.32079, -28.5259, 28.6484, 0.122683, -0.00710446, -0.122213, 6.56637, 7.15699, 7.72141, 7.20365, 0.457011, 0.484452, 0.510069, 0.486588, 
[2024-10-16 17:54:45.777287] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13608] , 28.7765, 525, 0.0331287, -0.0257903, -0.969104, -0.0712458, 0.0073739, -0.0209134, -0.00452502, 0.0391586, 0.109324, -0.138589, -0.23321, -0.0269613, 0, 0, -1, 0, 0, 0, 0.0811307, -0.0445695, 0, 0.145547, -0.153618, 0, 0.145547, -0.153616, -0.000695123, 0.97318, 0.156641, -0.006177, 0.0331287, -0.0257903, 0.0308956, 0.0593107, -0.344235, 1.12268, -0.0712458, 0.0073739, -0.0209134, -0.0856557, 0.0837281, 0.109324, -1.09697, 0.179708, 0.995122, -0.284136, -0.0795935, -0.0262661, -0.0860531, 2.19649, -28.5659, 1.27231, 2.32188, -28.5278, 28.6504, 0.127859, -0.0187901, -0.121972, 6.52581, 7.19972, 7.70304, 7.22182, 0.455094, 0.486408, 0.509241, 0.487418, 
[2024-10-16 17:54:45.787335] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13614] , 28.7865, 533, 0.0327803, -0.0256557, -0.969241, -0.043015, 0.0174287, -0.00259464, -0.00527449, 0.0367469, 0.109145, -0.0751061, -0.243886, -0.00983093, 0, 0, -1, 0, 0, 0, 0.0758574, -0.0229587, 0, 0.117207, -0.126314, 0, 0.117207, -0.126313, -0.000666241, 0.851566, -0.295168, -0.00297142, 0.0327803, -0.0256557, 0.0307585, 0.059642, -0.344493, 1.12299, -0.043015, 0.0174287, -0.00259464, -0.0811319, 0.0597056, 0.109145, -1.09782, 0.180545, 0.996216, -0.192313, -0.117573, -0.00916469, -0.621753, 1.99678, -29.0294, 0.666225, 2.20568, -29.0133, 29.1046, 0.106789, -0.0159013, -0.130559, 6.67325, 7.23718, 7.79753, 7.39668, 0.46204, 0.48812, 0.513496, 0.495384, 
[2024-10-16 17:54:45.797266] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13620] , 28.7965, 490, 0.0323898, -0.025503, -0.969141, -0.0846784, 0.00655402, -0.0115624, -0.00614046, 0.0352243, 0.108894, -0.0945847, -0.197533, -0.0257086, 0, 0, -1, 0, 0, 0, 0.081224, -0.0504565, 0, 0.00161084, 0.251681, 0, 0.00161084, 0.251677, 0.00154543, 0.441186, -0.457844, 0.000283928, 0.0323898, -0.025503, 0.0308591, 0.0599698, -0.344749, 1.12329, -0.0846784, 0.00655402, -0.0115624, -0.0873645, 0.0856809, 0.108894, -1.09864, 0.181142, 0.997307, -0.0961956, -0.44921, -0.0272541, 0.199978, 2.20231, -28.8077, 1.45239, 2.34418, -28.7606, 28.8925, 0.0820959, 0.00676204, -0.12213, 6.75481, 7.09098, 7.72609, 7.32058, 0.465857, 0.481423, 0.51028, 0.491923, 
[2024-10-16 17:54:45.807276] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13627] , 28.8065, 492, 0.0316633, -0.0254328, -0.96899, -0.064519, 0.0137982, -0.0134976, -0.00701372, 0.032464, 0.108532, -0.085697, -0.294138, -0.03969, 0, 0, -1, 0, 0, 0, 0.0786799, -0.0345409, 0, 0.0363565, -0.0622343, 0, 0.0363565, -0.0622328, -0.000436491, -0.410379, 0.952071, 0.0109482, 0.0316633, -0.0254328, 0.0310104, 0.0602937, -0.345004, 1.1236, -0.064519, 0.0137982, -0.0134976, -0.0856937, 0.0670049, 0.108532, -1.09951, 0.181999, 0.998396, -0.122054, -0.231905, -0.0392535, -0.164856, 2.0598, -28.7706, 0.993042, 2.26716, -28.7383, 28.8447, 0.0586214, 0.0201807, -0.116305, 6.8446, 7.00593, 7.68121, 7.31293, 0.47004, 0.477509, 0.508257, 0.491575, 
[2024-10-16 17:54:45.817341] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13633] , 28.8165, 524, 0.0312733, -0.0252559, -0.968722, -0.0489971, 0.016647, 0.00267984, -0.00770831, 0.0310212, 0.108181, -0.0701181, -0.103307, -0.0392398, 0, 0, -1, 0, 0, 0, 0.0772743, -0.0230221, 0, 0.00512275, 0.0642498, 0, 0.00512275, 0.0642479, 0.000495252, -0.816162, 0.594328, 0.00877719, 0.0312733, -0.0252559, 0.031278, 0.0606103, -0.345259, 1.12391, -0.0489971, 0.016647, 0.00267984, -0.0849826, 0.0540433, 0.108181, -1.10037, 0.182669, 0.999481, -0.0752408, -0.167555, -0.039735, -0.452401, 1.99811, -29.2077, 0.672004, 2.2603, -29.1843, 29.2795, 0.0378458, 0.0102926, -0.116243, 6.97502, 7.0932, 7.71748, 7.49375, 0.476082, 0.481526, 0.509892, 0.499787, 
[2024-10-16 17:54:45.827349] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13640] , 28.8265, 548, 0.0305456, -0.0251954, -0.968542, -0.10783, 0.000111194, -0.0146898, -0.00832914, 0.0288946, 0.107952, -0.0576853, -0.296472, -0.0283768, 0, 0, -1, 0, 0, 0, 0.0854994, -0.0623095, 0, -0.0319296, 0.293924, 0, -0.0319296, 0.293914, 0.0024481, -1.03359, 0.651742, 0.00844865, 0.0305456, -0.0251954, 0.031458, 0.060923, -0.345511, 1.12423, -0.10783, 0.000111194, -0.0146898, -0.0938285, 0.0912042, 0.107952, -1.10122, 0.183209, 1.00056, -0.0257556, -0.590386, -0.0308249, 0.715164, 2.31728, -28.7755, 1.79161, 2.466, -28.7162, 28.8775, 0.0276996, 0.0434185, -0.120811, 6.97116, 6.87364, 7.69024, 7.34248, 0.475904, 0.471389, 0.508664, 0.49292, 
[2024-10-16 17:54:45.837285] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13646] , 28.8365, 491, 0.0298707, -0.0250746, -0.968386, -0.0489884, 0.0236707, 0.00687293, -0.00866599, 0.0264196, 0.107706, -0.0211276, -0.224365, -0.0278524, 0, 0, -1, 0, 0, 0, 0.0729368, -0.0196136, 0, 0.0884771, -0.280646, 0, 0.0884771, -0.280636, -0.00243205, -1.0772, 1.39311, 0.0134133, 0.0298707, -0.0250746, 0.0316138, 0.0612285, -0.345763, 1.12454, -0.0489884, 0.0236707, 0.00687293, -0.0816028, 0.0460331, 0.107706, -1.10215, 0.184121, 1.00164, -0.109605, 0.0562706, -0.0254203, -0.401918, 1.85616, -29.3433, 0.575161, 2.14278, -29.3209, 29.4047, 0.0331284, 0.00630232, -0.122697, 6.99089, 7.10822, 7.74376, 7.5618, 0.476815, 0.482215, 0.511076, 0.502866, 
[2024-10-16 17:54:45.847304] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [13652] , 28.8465, 490, 0.0284483, -0.0248808, -0.967791, -0.0886726, 0.0115763, -0.00152005, -0.0086867, 0.0228936, 0.107595, 0.0423224, -0.256155, -0.00291047, 0, 0, -1, 0, 0, 0, 0.0780154, -0.0449194, 0, -0.0737015, 0.194581, 0, -0.0737015, 0.194574, 0.00169025, -0.38909, -0.553698, -0.00451715, 0.0284483, -0.0248808, 0.0322088, 0.0615272, -0.346014, 1.12486, -0.0886726, 0.0115763, -0.00152005, -0.0867021, 0.067813, 0.107595, -1.10297, 0.184582, 1.00272, 0.116024, -0.450729, -0.00460072, 0.420467, 2.08362, -29.1716, 1.30941, 2.27955, -29.1305, 29.2489, 0.0214513, 0.0111675, -0.133651, 6.96386, 7.0035, 7.71785, 7.56369, 0.475567, 0.477397, 0.509909, 0.502952, 
