[2025-02-03 17:53:05.855926] [0x0000007f808d0010] [MocapTag] [0x00005f2f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:53:05.958583] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [36] , 0.954321, -0.0307699, -0.203037, -0.14935, -0.999698, 0.0059576, 0.00996115, 0.0216645, 0.00239155, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.960693] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [37] , 0.954321, -0.0307699, -0.203037, -0.14935, -0.999698, 0.0059576, 0.00996115, 0.0216645, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.965175] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [38] , 0.964329, -0.0307889, -0.203037, -0.149349, -0.999698, 0.0059794, 0.00993405, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.967936] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [39] , 0.964329, -0.0307889, -0.203037, -0.149349, -0.999698, 0.0059794, 0.00993405, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.970853] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [40] , 0.964329, -0.0307889, -0.203037, -0.149349, -0.999698, 0.0059794, 0.00993405, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.973420] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [41] , 0.964329, -0.0307862, -0.203043, -0.149359, -0.999698, 0.00599655, 0.00999281, 0.0216434, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.976244] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [42] , 0.974325, -0.0307862, -0.203043, -0.149359, -0.999698, 0.00599655, 0.00999281, 0.0216434, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.978790] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [43] , 0.974325, -0.0307862, -0.203043, -0.149359, -0.999698, 0.00599655, 0.00999281, 0.0216434, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.982878] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [44] , 0.974325, -0.0307862, -0.203043, -0.149359, -0.999698, 0.00599655, 0.00999281, 0.0216434, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.985568] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [45] , 0.984322, -0.0308079, -0.203052, -0.149367, -0.999698, 0.00598611, 0.00997055, 0.0216378, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.988390] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [46] , 0.984322, -0.0308079, -0.203052, -0.149367, -0.999698, 0.00598611, 0.00997055, 0.0216378, -0.00217048, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.991155] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [47] , 0.984322, -0.0308079, -0.203052, -0.149367, -0.999698, 0.00598611, 0.00997055, 0.0216378, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.994284] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [48] , 0.984322, -0.0308048, -0.203045, -0.149353, -0.999698, 0.00597257, 0.00993747, 0.0216544, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.998138] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [49] , 0.994324, -0.0308048, -0.203045, -0.149353, -0.999698, 0.00597257, 0.00993747, 0.0216544, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.004150] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [50] , 0.994324, -0.0308048, -0.203045, -0.149353, -0.999698, 0.00597257, 0.00993747, 0.0216544, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.004721] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [51] , 1.00433, -0.0307773, -0.203055, -0.14936, -0.999699, 0.00599638, 0.00992491, 0.0216376, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.006924] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [52] , 1.00433, -0.0307773, -0.203055, -0.14936, -0.999699, 0.00599638, 0.00992491, 0.0216376, 0.00275069, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.008889] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [53] , 1.00433, -0.0307773, -0.203055, -0.14936, -0.999699, 0.00599638, 0.00992491, 0.0216376, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.013685] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [54] , 1.00433, -0.0307773, -0.203055, -0.14936, -0.999699, 0.00599638, 0.00992491, 0.0216376, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.016395] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [55] , 1.01432, -0.0307804, -0.203035, -0.14933, -0.999699, 0.00594855, 0.0099037, 0.0216344, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.019923] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [56] , 1.01432, -0.0307804, -0.203035, -0.14933, -0.999699, 0.00594855, 0.0099037, 0.0216344, 0, 0.00203171, 0.00292045, 0, 0, 0, 
[2025-02-03 17:53:06.022750] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [57] , 1.01432, -0.0307804, -0.203035, -0.14933, -0.999699, 0.00594855, 0.0099037, 0.0216344, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.024570] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [58] , 1.02433, -0.030787, -0.20304, -0.149338, -0.999699, 0.00595165, 0.00990474, 0.0216216, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.030660] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [59] , 1.02433, -0.030787, -0.20304, -0.149338, -0.999699, 0.00595165, 0.00990474, 0.0216216, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.032199] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [60] , 1.02433, -0.030787, -0.20304, -0.149338, -0.999699, 0.00595165, 0.00990474, 0.0216216, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.035680] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [61] , 1.03433, -0.0307929, -0.20305, -0.149345, -0.999699, 0.00594851, 0.00996904, 0.0216325, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.037423] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [62] , 1.03433, -0.0307929, -0.20305, -0.149345, -0.999699, 0.00594851, 0.00996904, 0.0216325, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.039908] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [63] , 1.03433, -0.0307929, -0.20305, -0.149345, -0.999699, 0.00594851, 0.00996904, 0.0216325, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.042871] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [64] , 1.03433, -0.0307929, -0.20305, -0.149345, -0.999699, 0.00594851, 0.00996904, 0.0216325, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.047209] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [65] , 1.04432, -0.0307909, -0.203057, -0.149357, -0.999699, 0.0059292, 0.00995115, 0.0216447, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.051437] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [66] , 1.04432, -0.0307909, -0.203057, -0.149357, -0.999699, 0.0059292, 0.00995115, 0.0216447, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.052834] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [67] , 1.04432, -0.0307909, -0.203057, -0.149357, -0.999699, 0.0059292, 0.00995115, 0.0216447, 0, 0, 0, 0, 0, 0, 
